DATASET_TITLE,Car or Van Availability (KS404EW),,,,,,,,FROM,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011
AREA_TYPE,Super Output Area Lower Layer,,,,,,,,TO,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011
GEO_HIERARCHY,2011 Statistical Geography Hierarchy,,,,,,,,HEADING,All Households,No Cars or Vans in Household,No Cars or Vans in Household,1 Car or Van in Household,1 Car or Van in Household,2 Cars or Vans in Household,2 Cars or Vans in Household,3 Cars or Vans in Household,3 Cars or Vans in Household,4 or More Cars or Vans in Household,4 or More Cars or Vans in Household,All Cars or Vans in the Area
,,,,,,,,,MEASUREMENT_UNIT,Count,Count,Percentage,Count,Percentage,Count,Percentage,Count,Percentage,Count,Percentage,Count
,,,,,,,,,STATISTICAL_UNIT,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Vehicles
GOR_CODE,GOR_NAME,LA_CODE,LA_NAME,MSOA_CODE,MSOA_NAME,LSOA_CODE,LSOA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002676,Kingston upon Hull 025,E01012756,Kingston upon Hull 025A,,,714,217,30.4,346,48.5,135,18.9,13,1.8,3,0.4,671
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002676,Kingston upon Hull 025,E01012757,Kingston upon Hull 025B,,,687,224,32.6,358,52.1,91,13.2,12,1.7,2,0.3,584
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002669,Kingston upon Hull 018,E01012758,Kingston upon Hull 018A,,,700,181,25.9,330,47.1,149,21.3,33,4.7,7,1,758
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002676,Kingston upon Hull 025,E01012759,Kingston upon Hull 025C,,,801,327,40.8,364,45.4,96,12,12,1.5,2,0.2,600
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002676,Kingston upon Hull 025,E01012760,Kingston upon Hull 025D,,,724,282,39,344,47.5,93,12.8,4,0.6,1,0.1,546
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002666,Kingston upon Hull 015,E01012761,Kingston upon Hull 015A,,,863,501,58.1,299,34.6,49,5.7,12,1.4,2,0.2,442
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002669,Kingston upon Hull 018,E01012762,Kingston upon Hull 018B,,,632,208,32.9,282,44.6,110,17.4,22,3.5,10,1.6,611
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002669,Kingston upon Hull 018,E01012763,Kingston upon Hull 018C,,,996,491,49.3,383,38.5,97,9.7,18,1.8,7,0.7,664
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002656,Kingston upon Hull 005,E01012764,Kingston upon Hull 005A,,,552,97,17.6,315,57.1,110,19.9,26,4.7,4,0.7,630
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002656,Kingston upon Hull 005,E01012765,Kingston upon Hull 005B,,,628,112,17.8,326,51.9,157,25,25,4,8,1.3,751
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002663,Kingston upon Hull 012,E01012766,Kingston upon Hull 012A,,,562,93,16.5,277,49.3,143,25.4,44,7.8,5,0.9,715
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002663,Kingston upon Hull 012,E01012767,Kingston upon Hull 012B,,,583,168,28.8,252,43.2,113,19.4,31,5.3,19,3.3,656
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002656,Kingston upon Hull 005,E01012768,Kingston upon Hull 005C,,,698,154,22.1,382,54.7,128,18.3,30,4.3,4,0.6,744
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002656,Kingston upon Hull 005,E01012769,Kingston upon Hull 005D,,,684,160,23.4,389,56.9,111,16.2,20,2.9,4,0.6,690
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002679,Kingston upon Hull 028,E01012770,Kingston upon Hull 028A,,,591,68,11.5,250,42.3,218,36.9,46,7.8,9,1.5,861
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002679,Kingston upon Hull 028,E01012771,Kingston upon Hull 028B,,,636,123,19.3,320,50.3,157,24.7,29,4.6,7,1.1,752
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002679,Kingston upon Hull 028,E01012772,Kingston upon Hull 028C,,,613,153,25,278,45.4,145,23.7,29,4.7,8,1.3,695
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002678,Kingston upon Hull 027,E01012773,Kingston upon Hull 027A,,,753,188,25,394,52.3,150,19.9,18,2.4,3,0.4,762
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002670,Kingston upon Hull 019,E01012774,Kingston upon Hull 019A,,,667,209,31.3,310,46.5,125,18.7,19,2.8,4,0.6,636
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002679,Kingston upon Hull 028,E01012775,Kingston upon Hull 028D,,,658,237,36,338,51.4,64,9.7,14,2.1,5,0.8,528
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002678,Kingston upon Hull 027,E01012776,Kingston upon Hull 027B,,,657,181,27.5,330,50.2,124,18.9,21,3.2,1,0.2,645
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002679,Kingston upon Hull 028,E01012777,Kingston upon Hull 028E,,,729,349,47.9,253,34.7,103,14.1,18,2.5,6,0.8,540
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002655,Kingston upon Hull 004,E01012778,Kingston upon Hull 004A,,,536,273,50.9,199,37.1,56,10.4,7,1.3,1,0.2,336
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002652,Kingston upon Hull 001,E01012779,Kingston upon Hull 001A,,,487,240,49.3,196,40.2,39,8,9,1.8,3,0.6,313
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002652,Kingston upon Hull 001,E01012780,Kingston upon Hull 001B,,,593,303,51.1,220,37.1,54,9.1,12,2,4,0.7,382
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002652,Kingston upon Hull 001,E01012781,Kingston upon Hull 001C,,,471,254,53.9,169,35.9,43,9.1,4,0.8,1,0.2,271
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002653,Kingston upon Hull 002,E01012782,Kingston upon Hull 002A,,,576,335,58.2,202,35.1,30,5.2,6,1,3,0.5,294
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002655,Kingston upon Hull 004,E01012783,Kingston upon Hull 004B,,,529,302,57.1,189,35.7,27,5.1,10,1.9,1,0.2,277
